;bwnr;bauwerksname;ort;zn;x [m] UTM32;y [m] UTM32;Bez_Sachverhalt;Str_Kl;Str_Nr
11182;4506524-A;Kleine Emscher/Kleine Emscher, offenes Gerinne;Hamborn;1,3;348696,0;5707504,0;*O:;A;3
11183;4506527-2;Hagelkreuzstraße/Auffahrtsrampe FR Arnheim;Duisburg-Hamborn;2,0;348463,0;5706694,0;*O:;A;3
11184;4506527-3;Hagelkreuzstraße/Hauptfahrbahn FR Arnheim;Duisburg-Hamborn;2,0;348428,0;5706726,0;*O:;A;3
11185;4506527-4;Hagelkreuzstraße/Abfahrtsast u. Hauptfahrbahn FR Köln;Duisburg-Hamborn;2,2;348428,0;5706726,0;*O:;A;3
11186;4506539-2;Obermeidericher Straße;Duisburg;2,2;348178,0;5703653,0;*O:;A;3
11187;4506539-3;Obermeidericher Straße;Duisburg;2,0;348178,0;5703654,0;*O:;A;3
11188;4506540-2;Styrumer Straße;Obermeiderich;2,3;348100,0;5703532,0;*O:;A;3
11189;4506540-3;Styrumer Straße;Obermeiderich;2,0;348100,0;5703532,0;*O:;A;3
11190;4506541-2;DB Brücke (ehemals)/östl. Überbau;DU-Obermeiderich;2,2;348033,0;5703452,0;*O:;A;3
11191;4506541-3;DB Brücke (ehemals)/westl. Überbau;DU-Obermeiderich;2,3;348033,0;5703452,0;*O:;A;3
11192;4506543-1;Speldorfer Straße / Am Ruhrufer;DU-Obermeiderich;2,0;347825,0;5703290,0;*O:;A;3
11193;4506543-2;Speldorfer Straße / Am Ruhrufer;DU-Obermeiderich;2,5;347825,0;5703290,0;*O:;A;3
11194;4506544-2;Ruhrbrücke/Ruhrbrücke Ost;Duisburg-Meiderich;2,3;347026,0;5702109,0;*O:;A;3
11195;4506544-3;Ruhrbrücke/Ruhrbrücke West;Duisburg-Meiderich;2,5;347026,0;5702109,0;*O:;A;3
11196;4506545-2;AK DU-Kaiserberg (Bauwerk XI)/AK DU-Kaiserberg (Bauwerk XI) ÜBB Ost;Duisburg;2,7;347056,0;5701703,0;*O:;A;3
11197;4506545-3;AK DU-Kaiserberg (Bauwerk XI)/AK DU-Kaiserberg (Bauwerk XI) ÜBB West;Duisburg;3,0;347042,0;5701723,0;*O:;A;3
11198;4506549-1;A40 / Meidericher Straße/Meidericher Straße;Duisburg-Duissern;2,7;346483,0;5701940,0;*O:;A;40
11199;4506549-2;A40 / Meidericher Straße/Meidericher Straße;Duisburg-Duissern;1,1;346483,0;5701940,0;*O:;A;40
11200;4506551-1;A40/Aakerfährstraße/Aakerfährstraße, FR Venlo;Duisburg;2,1;345944,0;5701899,0;*O:;A;40
11201;4506551-2;A40/Aakerfährstraße/Aakerfährstraße, FR Venlo;Duisburg;2,2;345942,0;5701867,0;*O:;A;40
11202;4506551-3;A40/Aakerfährstraße/Aakerfährstraße, FR Dortmund;Duisburg;2,0;345942,0;5701867,0;*O:;A;40
11203;4506551-4;A40/Aakerfährstraße/Aakerfährstraße, FR Dortmund;Duisburg;2,1;345958,0;5701847,0;*O:;A;40
11204;4506554-1;AK Duisburg (13)(9)/AK Duisburg, FR Wesel - Parallelfahrbahn;Duisburg;2,5;345650,0;5701800,0;*O:;A;59
11205;4506554-2;AK Duisburg (13)(9)/AK Duisburg, FR Wesel;Duisburg;2,8;345631,0;5701794,0;*O:;A;59
11206;4506554-3;AK Duisburg (13)(9)/AK Duisburg, FR Düsseldorf;Duisburg;2,9;345631,0;5701794,0;*O:;A;59
11207;4506554-4;AK Duisburg (13)(9)/AK Duisburg, FR Düsseldorf - Parallelfahrbahn;Duisburg;2,9;345623,0;5701798,0;*O:;A;59
11208;4506560-1;A40 / Max-Peters-Straße/Max-Peters-Straße;Duisburg-Kaßlerfeld;2,5;344427,0;5701234,0;*O:;A;40
11209;4506560-2;A40 / Max-Peters-Straße/Max-Peters-Straße;Duisburg-Kaßlerfeld;2,2;344427,0;5701234,0;*O:;A;40
11210;4506564-2;A40/Ruhrorter Straße/Ruhrorter Straße;Duisburg;1,9;344078,0;5700842,0;*O:;A;40
11211;4506564-3;A40/Ruhrorter Straße/Ruhrorter Straße;Duisburg;2,2;344078,0;5700842,0;*O:;A;40
11212;4506570-1;A40/Hafenbahn/Hafenbahn;Duisburg;2,5;343135,0;5700603,0;*O:;A;40
11213;4506570-2;A40/Hafenbahn/Hafenbahn;Duisburg;2,5;343135,0;5700603,0;*O:;A;40
11214;4506571-1;A40 / Schlütershof/Schlütershof;Duisburg;2,5;342771,0;5700665,0;*O:;A;40
11215;4506571-2;A40 / Schlütershof/Schlütershof;Duisburg;3,0;342771,0;5700665,0;*O:;A;40
11216;4506576-0;A40/Rheinbrücke Duisburg-Neuenkamp/Rheinbrücke Duisburg-Neuenkamp;Duisburg-Neuenkamp;4,0;341014,0;5700901,0;*O:;A;40
11217;4506579-1;A40/DB Werksgleis (Fa. Sachtleben)/nördl. Überbau, FR Venlo;Homberg;2,1;339857,0;5700777,0;*O:;A;40
11218;4506579-2;A40/DB Werksgleis (Fa. Sachtleben)/südl. Überbau, FR Dortmund;Homberg;2,8;339857,0;5700777,0;*O:;A;40
11219;4506580-0;A40/Feldwegunterführung/Feldwegunterführung;Homberg;2,2;339733,0;5700809,0;*O:;A;40
11220;4506586-0;A40/Auffahrtsrampe Moers-Ost über L140/Auffahrtsrampe Moers-Ost über L140;Moers-Asberg;2,3;338074,0;5701023,0;*O:;A;40
11221;4506601-0;AK Duisburg-Nord, Süd-West Rampe;Duisburg;3,2;345230,0;5705972,0;*O:;A;59
11222;4506602-2;"A59/A42 AK DU-Nord, ""Ost-Süd-Rampe""/AK DU-Nord, ""Ost-Süd-Rampe""";Duisburg-Althamborn;2,1;345196,0;5706007,0;*O:;A;59
11223;4506602-3;"A59/A42 AK DU-Nord, ""Ost-Süd-Rampe""/AK DU-Nord, ""Ost-Süd-Rampe""";Duisburg-Althamborn;1,0;345196,0;5706007,0;*O:;A;59
11224;4506602-4;"A59/A42 AK DU-Nord, ""Ost-Süd-Rampe""/AK DU-Nord, ""Ost-Süd-Rampe""";Duisburg-Althamborn;1,0;345193,0;5706006,0;*O:;A;59
11225;4506602-5;"A59/A42 AK DU-Nord, ""Ost-Süd-Rampe""/AK DU-Nord, ""Ost-Süd-Rampe""";Duisburg-Althamborn;1,0;345183,0;5705998,0;*O:;A;59
11226;4506603-0;A59/AK Duisburg-Nord, Nord-Ost-Rampe/AK Duisburg-Nord (Nord-Ost-Rampe);Duisburg;2,1;345273,0;5705745,0;*O:;A;59
11227;4506606-2;Unterführung Süd-West Rampe;Duisburg;2,2;345377,0;5705895,0;*O:;A;42
11228;4506606-3;Unterführung Süd-West Rampe;Duisburg;2,5;345371,0;5705892,0;*O:;A;42
11229;4506609-2;Emscherstraße/BW;Duisburg Alt-Hamborn;2,5;345840,0;5706048,0;*O:;A;42
